,BLA,BLP,MABH,BN,FAR,BD,HBN,AHBH,ABH,DHBH,ABF,CL,RBS,HBFR,BL,LU,SBLU,SLR
0,"G: +16,208.22 to +25,962.57",G: +575.40 to +705.73,I: +80.48 to +100.35,G: +8.00 to +12.00,I: +5.96 to +9.79,E: +0.21 to +0.28,I: +6.00 to +11.00,J: +73.47 to +217.00,J: +59.04 to +176.83,H: +5.71 to +11.99,F: +376.68 to +466.13,D: +0.04 to +0.12,D: +0.37 to +0.58,F: +0.00 to +0.50,H: +0.44 to +0.53,B,"A, B","secondary, tertiary, residential"
1,"H: +25,962.57 to +37,105.02",G: +575.40 to +705.73,J: +100.35 to +338.05,H: +12.00 to +19.00,I: +5.96 to +9.79,G: +0.33 to +0.39,J: +11.00 to +113.00,I: +60.59 to +73.47,I: +43.58 to +59.04,J: +19.31 to +128.65,G: +466.13 to +602.17,I: +0.39 to +0.49,F: +0.73 to +0.86,H: +0.79 to +1.00,I: +0.53 to +0.69,B,"A, B, R","secondary, tertiary, residential"
2,"G: +16,208.22 to +25,962.57",G: +575.40 to +705.73,I: +80.48 to +100.35,H: +12.00 to +19.00,I: +5.96 to +9.79,H: +0.39 to +0.47,J: +11.00 to +113.00,I: +60.59 to +73.47,J: +59.04 to +176.83,I: +11.99 to +19.31,H: +602.17 to +800.41,G: +0.26 to +0.33,F: +0.73 to +0.86,G: +0.50 to +0.79,G: +0.35 to +0.44,B,"A, B","secondary, tertiary, residential"
3,"F: +10,752.29 to +16,208.22",F: +479.10 to +575.40,G: +47.89 to +62.56,G: +8.00 to +12.00,H: +4.06 to +5.96,G: +0.33 to +0.39,I: +6.00 to +11.00,G: +43.06 to +50.20,H: +32.47 to +43.58,H: +5.71 to +11.99,G: +466.13 to +602.17,F: +0.20 to +0.26,G: +0.86 to +1.00,H: +0.79 to +1.00,H: +0.44 to +0.53,B,"A, B, R","tertiary, residential"
4,"H: +25,962.57 to +37,105.02","I: +877.46 to +1,137.65",H: +62.56 to +80.48,I: +19.00 to +37.00,E: +1.50 to +2.17,E: +0.21 to +0.28,I: +6.00 to +11.00,H: +50.20 to +60.59,G: +25.87 to +32.47,H: +5.71 to +11.99,E: +287.72 to +376.68,E: +0.12 to +0.20,E: +0.58 to +0.73,G: +0.50 to +0.79,I: +0.53 to +0.69,R,"B, R","trunk, primary, secondary, tertiary, residential"
5,"F: +10,752.29 to +16,208.22",F: +479.10 to +575.40,G: +47.89 to +62.56,I: +19.00 to +37.00,H: +4.06 to +5.96,G: +0.33 to +0.39,J: +11.00 to +113.00,G: +43.06 to +50.20,H: +32.47 to +43.58,G: +0.00 to +5.71,D: +172.15 to +287.72,G: +0.26 to +0.33,F: +0.73 to +0.86,H: +0.79 to +1.00,G: +0.35 to +0.44,R,"A, B, R","tertiary, residential"
6,"I: +37,105.02 to +68,167.29",H: +705.73 to +877.46,F: +36.00 to +47.89,H: +12.00 to +19.00,D: +0.40 to +1.50,D: +0.08 to +0.21,G: +1.00 to +3.00,F: +0.00 to +43.06,E: +17.74 to +20.19,G: +0.00 to +5.71,F: +376.68 to +466.13,E: +0.12 to +0.20,D: +0.37 to +0.58,H: +0.79 to +1.00,F: +0.28 to +0.35,A,"A, B, R","secondary, tertiary, residential"
7,"G: +16,208.22 to +25,962.57",G: +575.40 to +705.73,G: +47.89 to +62.56,G: +8.00 to +12.00,H: +4.06 to +5.96,G: +0.33 to +0.39,I: +6.00 to +11.00,G: +43.06 to +50.20,H: +32.47 to +43.58,H: +5.71 to +11.99,G: +466.13 to +602.17,E: +0.12 to +0.20,E: +0.58 to +0.73,G: +0.50 to +0.79,E: +0.22 to +0.28,B,"A, B, R","secondary, tertiary"
8,"I: +37,105.02 to +68,167.29","J: +1,137.65 to +5,919.44",I: +80.48 to +100.35,J: +37.00 to +389.00,I: +5.96 to +9.79,G: +0.33 to +0.39,J: +11.00 to +113.00,H: +50.20 to +60.59,I: +43.58 to +59.04,I: +11.99 to +19.31,F: +376.68 to +466.13,F: +0.20 to +0.26,E: +0.58 to +0.73,G: +0.50 to +0.79,G: +0.35 to +0.44,R,"A, B, R","trunk, primary, tertiary"
9,"G: +16,208.22 to +25,962.57",G: +575.40 to +705.73,I: +80.48 to +100.35,G: +8.00 to +12.00,J: +9.79 to +49.32,H: +0.39 to +0.47,I: +6.00 to +11.00,I: +60.59 to +73.47,J: +59.04 to +176.83,I: +11.99 to +19.31,"I: +800.41 to +1,173.35",G: +0.26 to +0.33,J: +1.00 to +1.00,H: +0.79 to +1.00,D: +0.17 to +0.22,B,"B, R","primary, secondary, tertiary"
10,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",J: +100.35 to +338.05,J: +37.00 to +389.00,G: +2.90 to +4.06,E: +0.21 to +0.28,J: +11.00 to +113.00,H: +50.20 to +60.59,G: +25.87 to +32.47,I: +11.99 to +19.31,F: +376.68 to +466.13,E: +0.12 to +0.20,C: +0.00 to +0.37,F: +0.00 to +0.50,I: +0.53 to +0.69,R,"A, B, R","trunk, secondary, tertiary, residential"
11,"I: +37,105.02 to +68,167.29",H: +705.73 to +877.46,J: +100.35 to +338.05,F: +5.00 to +8.00,H: +4.06 to +5.96,D: +0.08 to +0.21,H: +3.00 to +6.00,J: +73.47 to +217.00,J: +59.04 to +176.83,J: +19.31 to +128.65,"I: +800.41 to +1,173.35",E: +0.12 to +0.20,I: +1.00 to +1.00,H: +0.79 to +1.00,D: +0.17 to +0.22,B,"A, B","primary, secondary, tertiary"
12,"J: +68,167.29 to +723,844.63","J: +1,137.65 to +5,919.44",F: +36.00 to +47.89,J: +37.00 to +389.00,F: +2.17 to +2.90,E: +0.21 to +0.28,H: +3.00 to +6.00,F: +0.00 to +43.06,F: +20.19 to +25.87,G: +0.00 to +5.71,"J: +1,173.35 to +23,420.93",E: +0.12 to +0.20,D: +0.37 to +0.58,F: +0.00 to +0.50,G: +0.35 to +0.44,A,"A, B, G, R","primary, secondary, tertiary, residential"
