,BLA,BLP,MABH,BN,FAR,BD,HBN,AHBH,ABH,DHBH,ABF,CL,RBS,HBFR,BL,LU,SBLU,SLR
0,6,6,7,5,7,3,4,5,9,2,4,2,2,1,7,1,1,12
1,7,6,8,6,7,5,5,4,8,4,5,7,4,3,8,1,13,12
2,6,6,7,6,7,6,5,4,9,3,6,5,4,2,6,1,1,12
3,5,5,5,5,6,5,4,2,7,2,5,4,5,3,7,1,13,14
4,7,8,6,7,3,3,4,3,6,2,3,3,3,2,8,5,50,21
5,5,5,5,7,6,5,5,2,7,1,2,5,4,3,6,5,13,14
6,8,7,4,6,2,2,2,1,4,1,4,3,2,3,5,0,13,12
7,6,6,5,5,6,5,4,2,7,2,5,3,3,2,4,1,13,11
8,8,9,7,8,7,5,5,3,8,3,4,4,3,2,6,5,13,22
9,6,6,7,5,8,6,4,4,9,3,7,5,8,3,3,1,50,4
10,9,9,8,8,5,3,5,3,6,3,4,3,1,1,8,5,13,28
11,8,7,8,4,6,2,3,5,9,4,7,3,7,3,3,1,1,4
12,9,9,4,8,4,3,3,1,5,1,8,3,2,1,6,0,5,5
13,5,5,8,3,8,4,3,5,9,4,7,4,7,3,5,1,13,4
14,6,6,7,4,6,2,3,3,8,3,6,2,3,2,4,1,4,2
15,7,7,7,5,5,3,2,3,6,4,6,4,2,3,6,1,50,4
16,6,5,5,3,2,1,1,3,5,0,2,2,4,3,8,5,62,22
17,6,5,6,6,7,4,4,3,8,2,4,5,3,2,7,5,50,6
18,7,7,8,7,8,6,5,5,9,3,5,3,3,2,2,1,13,4
19,6,5,5,1,1,1,1,3,8,0,1,0,0,0,1,1,4,4
20,8,8,7,8,6,3,5,3,8,3,2,3,2,1,4,5,13,22
21,7,7,8,7,6,3,5,3,8,4,3,3,3,3,3,5,13,6
22,7,7,5,7,4,3,4,3,7,2,4,2,2,3,1,0,13,11
23,7,6,3,1,2,1,1,1,7,0,8,2,5,3,3,1,43,4
24,6,5,5,4,7,8,3,2,7,1,8,8,8,3,0,1,4,11
25,8,8,7,7,5,3,5,4,7,3,4,3,3,2,7,5,62,23
26,7,7,7,7,7,5,5,4,9,2,4,6,4,2,3,1,13,4
27,3,3,6,2,2,1,2,4,9,2,2,1,6,3,5,1,50,20
28,7,7,7,6,7,5,4,3,8,3,7,6,4,3,1,0,13,11
29,6,5,8,4,8,5,3,5,9,4,8,4,4,3,0,1,4,11
30,9,9,0,0,0,0,0,0,8,0,0,0,0,0,1,3,1,4
31,7,6,8,6,8,7,4,5,9,4,7,3,2,2,1,1,43,11
32,9,9,8,8,7,4,5,4,9,3,5,4,3,2,4,5,50,5
33,8,8,7,7,7,4,5,4,9,3,5,3,2,1,6,5,62,27
34,8,7,8,7,8,6,5,4,9,4,6,6,3,2,0,1,50,9
35,9,9,8,7,7,5,5,4,8,3,7,4,2,1,1,1,35,27
36,7,7,5,3,3,2,2,2,7,1,6,2,4,3,0,5,35,9
37,8,7,8,6,6,4,3,4,6,4,7,3,2,2,0,1,50,18
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,25
39,9,9,7,8,6,3,5,3,7,3,5,4,2,1,3,1,35,27
40,9,9,8,7,6,4,5,4,8,4,7,2,1,1,1,1,50,25
41,8,9,7,8,5,4,5,3,7,3,2,4,2,2,3,1,62,28
42,9,9,4,8,5,5,4,1,5,1,3,7,5,3,1,5,50,19
43,9,9,6,8,4,4,4,3,6,3,4,6,3,3,5,5,62,19
44,8,8,7,8,6,4,5,3,7,3,3,6,3,2,3,5,50,12
45,9,9,5,8,3,4,4,2,5,2,3,5,2,2,2,5,50,12
46,7,8,5,7,3,2,2,2,6,2,2,4,4,3,7,1,63,28
47,9,9,5,8,5,6,5,1,5,2,2,7,1,1,5,5,50,28
48,5,6,6,5,5,3,3,2,6,2,3,4,5,3,5,1,51,28
49,8,7,6,6,2,1,3,2,6,2,2,2,1,1,4,1,13,28
50,9,9,6,8,5,4,5,2,6,2,3,7,2,3,6,5,50,28
51,8,8,5,6,4,3,1,3,4,0,6,2,3,3,4,1,13,30
52,8,8,5,4,4,3,4,1,7,1,8,2,2,1,4,1,13,28
53,9,9,7,8,6,3,5,3,8,3,5,3,3,2,7,1,50,28
54,5,4,5,6,5,4,3,2,6,1,2,5,4,3,7,1,13,26
55,6,5,8,7,7,7,5,3,7,4,5,6,3,2,7,5,50,24
56,8,8,8,4,5,2,3,4,8,4,8,4,3,3,8,1,50,24
57,6,6,6,5,7,5,4,3,8,2,7,2,8,3,8,1,13,10
58,7,7,4,7,3,3,2,1,5,1,3,4,2,1,8,5,50,8
59,8,8,7,8,6,4,5,3,8,3,4,4,1,1,9,1,50,24
60,5,4,6,5,6,4,3,3,7,2,4,2,3,1,9,1,12,14
61,9,9,8,8,5,4,5,3,6,3,3,4,1,1,9,4,1,21
62,6,5,1,1,1,1,0,0,2,0,1,1,5,0,9,1,12,7
63,8,8,7,8,6,4,5,3,7,3,3,5,2,1,9,1,13,10
64,9,9,4,8,2,2,2,1,3,1,7,2,1,0,8,0,51,21
65,9,9,5,8,4,4,5,2,5,2,3,5,2,3,9,5,13,21
66,8,7,7,7,6,3,5,4,8,3,4,5,3,2,8,0,29,12
67,9,9,8,8,3,2,5,5,8,4,2,3,3,1,8,0,31,10
68,9,9,7,7,2,1,4,4,8,3,4,3,4,3,9,0,65,5
69,8,8,8,8,6,3,5,5,9,4,2,2,2,1,7,0,29,12
70,6,6,8,6,6,2,5,5,9,4,2,2,3,2,4,5,15,10
71,9,9,8,8,5,2,5,4,8,3,2,1,1,1,8,5,29,5
72,6,6,8,6,8,5,5,5,9,4,4,5,4,3,4,5,52,12
73,7,7,8,7,6,3,5,5,9,4,2,2,1,1,3,0,29,12
74,9,9,8,8,5,2,5,4,8,4,4,3,2,1,5,5,29,12
75,6,6,3,7,4,6,0,0,3,0,3,6,4,0,2,0,0,11
76,8,7,6,7,6,3,5,3,8,3,3,2,2,1,8,1,1,4
77,9,9,4,3,2,2,2,2,7,0,8,5,7,3,9,6,0,21
78,9,9,6,8,3,2,5,2,6,3,2,3,2,2,5,6,13,10
79,7,6,8,6,8,5,5,5,9,4,5,5,3,2,2,1,13,12
80,7,7,8,5,7,2,3,5,8,4,5,3,4,2,1,0,1,11
